ID,Name,Released,Year,Score,RatingCount,Director
27796,Black Knight(2001) ,1,2001,4.9,37734,Gil Junger
27905,The Cheetah Girls(2003) ,1,2003,4.9,7089,Oz Scott
28014,Gulliver's Travels(2010) ,1,2010,4.9,65060,Rob Letterman
28123,Just Roll With It            ,1,,4.9,171,Trevor Moore
28232,Reach Me(2014) ,1,2014,4.9,2544,John Herzfeld
28341,Boat Trip(2002) ,1,2002,4.9,30094,Mort Nathan
28450,The Haunted Mansion(2003) ,1,2003,5,42389,Rob Minkoff
28559,Playing with Fire(2019) ,1,2019,5,9986,Andy Fickman
28668,Tremors: A Cold Day in Hell(2018) ,1,2018,5,4655,Don Michael Paul
28777,Business Ethics(2019) ,1,2019,5,80,Nick Wernham
28886,Cursed(2005) ,1,2005,5,30286,Wes Craven
28995,Wild Wild West(1999) ,1,1999,5,151813,Barry Sonnenfeld
29104,The Banana Splits Movie(2019) ,1,2019,5,2510,Danishka Esterhazy
29213,A Haunted House(2013) ,1,2013,5,43393,Michael Tiddes
29322,Lucky Day(2019) ,1,2019,5,1853,Roger Avary
29431,The Binge(2020) ,1,2020,5,2178,Jeremy Garelick
29540,UglyDolls(2019) ,1,2019,5,5494,Kelly Asbury
29649,"Honey, We Shrunk Ourselves!(1997) ",1,1997,5,13277,Dean Cundey
29758,Think Like a Dog(2020) ,1,2020,5,863,Gil Junger
29867,A.N.T. Farm            ,1,,5,5853,Dan Signer
29976,Zapped!(1982) ,1,1982,5,6248,Robert J. Rosenthal
30085,Superman III(1983) ,1,1983,5,63572,Richard Lester
30194,Garfield(2004) ,1,2004,5,78298,Peter Hewitt
30303,Tooth Fairy(2010) ,1,2010,5,41669,Michael Lembeck
30412,Alvin and the Chipmunks: The Road Chip(2015) ,1,2015,5,16498,Walt Becker
30521,The Beverly Hillbillies(1993) ,1,1993,5,17198,Penelope Spheeris
30630,Our Cartoon President            ,1,,5,3272,Stephen Colbert
30739,Leprechaun Returns(2018) ,1,2018,5,2831,Steven Kostanski
30848,Police Academy 4: Citizens on Patrol(1987) ,1,1987,5,39808,Jim Drake
30957,High School Musical 2(2007) ,1,2007,5,54481,Kenny Ortega
31066,The Women(2008) ,1,2008,5,20304,Diane English
31175,Here Come the Munsters(1995) ,1,1995,5,502,Robert Ginty
31284,Deck the Halls(2006) ,1,2006,5,22120,John Whitesell
31393,Bless the Harts            ,1,,5,1207,Emily Spivey
31502,Leprechaun 3(1995) ,1,1995,5,6832,Brian Trenchard-Smith
31611,Range 15(2016) ,1,2016,5,5147,Ross Patterson
31720,Iron Sky: The Coming Race(2019) ,1,2019,5,8130,Timo Vuorensola
31829,New York Minute(2004) ,1,2004,5,21572,Dennie Gordon
31938,So Undercover(2012) ,1,2012,5,19197,Tom Vaughan
32047,Sorority Babes in the Slimeball Bowl-O-Rama(1988) ,1,1988,5,3240,David DeCoteau
32156,Hot Dog ...The Movie(1984) ,1,1984,5,3039,Peter Markle
32265,Scooby-Doo(2002) ,1,2002,5.1,98038,Raja Gosnell
32374,Under the Cherry Moon(1986) ,1,1986,5.1,3049,Prince
32483,Scooby-Doo 2: Monsters Unleashed(2004) ,1,2004,5.1,49102,Raja Gosnell
32592,Hannah Montana            ,1,,5.1,36387,Rich Correll
32701,The Dukes of Hazzard(2005) ,1,2005,5.1,75172,Jay Chandrasekhar
32810,Sex Tape(2014) ,1,2014,5.1,106460,Jake Kasdan
32919,The F**k-It List(2020) ,1,2020,5.1,3984,Michael Duggan
33028,Scary Movie 4(2006) ,1,2006,5.1,112732,David Zucker
33137,Desperados(2020) ,1,2020,5.1,7798,LP
33246,An American Werewolf in Paris(1997) ,1,1997,5.1,23043,Anthony Waller
33355,Breakin' 2: Electric Boogaloo(1984) ,1,1984,5.1,3681,Sam Firstenberg
33464,The VelociPastor(2018) ,1,2018,5.1,3172,Brendan Steere
33573,The Naked Mile(2006) ,1,2006,5.1,65015,Joe Nussbaum
33682,The Three Stooges(2012) ,1,2012,5.1,29735,Bobby Farrelly
33791,Miss Congeniality 2: Armed & Fabulous(2005) ,1,2005,5.1,68813,John Pasquin
33900,Transylvania 6-5000(1985) ,1,1985,5.1,6666,Rudy De Luca
34009,"Nicky, Ricky, Dicky & Dawn            ",1,,5.1,1770,Michael Feldman
34118,Band Camp(2005) ,1,2005,5.1,67638,Steve Rash
34227,She Dies Tomorrow(2020) ,1,2020,5.1,2641,Amy Seimetz
34336,Elektra Luxx(2010) ,1,2010,5.1,6908,Sebastian Gutierrez
34445,Porky's II: The Next Day(1983) ,1,1983,5.1,10758,Bob Clark
34554,Cannonball Run II(1984) ,1,1984,5.1,14788,Hal Needham
34663,Lost Boys: The Thirst(2010) ,1,2010,5.1,4071,Dario Piana
34772,Cats & Dogs(2001) ,1,2001,5.1,56017,Lawrence Guterman
34881,Action Point(2018) ,1,2018,5.1,9810,Tim Kirkby
34990,Agent Cody Banks(2003) ,1,2003,5.1,32677,Harald Zwart
35099,Coffee & Kareem(2020) ,1,2020,5.1,11011,Michael Dowse
35208,Hot Pursuit(2015) ,1,2015,5.1,47978,Anne Fletcher
35317,Lesbian Vampire Killers(2009) ,1,2009,5.1,19413,Phil Claydon
35426,Toys(1992) ,1,1992,5.1,30221,Barry Levinson
35535,BookendS(2016) ,1,2016,5.1,129,Delavega
35644,Home Fries(1998) ,1,1998,5.1,7995,Dean Parisot
35753,My Super Ex-Girlfriend(2006) ,1,2006,5.1,61291,Ivan Reitman
35862,The Romantics(2010) ,1,2010,5.1,11643,Galt Niederhoffer
35971,Hot Tub Time Machine 2(2015) ,1,2015,5.1,36578,Steve Pink
36080,Smokin' Aces 2: Assassins' Ball(2010) ,1,2010,5.1,12890,P.J. Pesce
36189,Ski School(1990) ,1,1990,5.1,3191,Damian Lee
36298,The Breed(2006) ,1,2006,5.1,12385,Nicholas Mastandrea
36407,Spookies(1986) ,1,1986,5.1,2297,Genie Joseph
36516,Prêt-à-Porter(1994) ,1,1994,5.1,14250,Robert Altman
36625,All Cheerleaders Die(2013) ,1,2013,5.1,8209,Lucky McKee
36734,The Plateaus            ,1,,5.1,16,Annie Murphy
36843,Santa Girl(2019) ,1,2019,5.1,793,Blayne Weaver
36952,Summer Catch(2001) ,1,2001,5.1,15050,Michael Tollin
37061,A Dirty Shame(2004) ,1,2004,5.1,12130,John Waters
37170,Dude(2018) ,1,2018,5.1,6135,Olivia Milch
37279,Hubie Halloween(2020) ,1,2020,5.2,32035,Steven Brill
37388,Jennifer's Body(2009) ,1,2009,5.2,114571,Karyn Kusama
37497,7th Heaven            ,1,,5.2,23900,Brenda Hampton
37606,Zookeeper(2011) ,1,2011,5.2,56643,Frank Coraci
37715,Sandy Wexler(2017) ,1,2017,5.2,14437,Steven Brill
37824,The Week Of(2018) ,1,2018,5.2,18228,Robert Smigel
37933,Cult of Chucky(2017) ,1,2017,5.2,20358,Don Mancini
38042,Monella(1998) ,1,1998,5.2,3145,Tinto Brass
38151,Spooky House(2002) ,1,2002,5.2,416,William Sachs
38260,Tall Girl(2019) ,1,2019,5.2,16789,Nzingha Stewart
38369,Paul Blart: Mall Cop(2009) ,1,2009,5.2,101794,Steve Carr
38478,Rim of the World(2019) ,1,2019,5.2,18320,McG
38587,Casino Royale(1967) ,1,1967,5.2,26850,Val Guest
38696,Alvin and the Chipmunks(2007) ,1,2007,5.2,75597,Tim Hill
38805,Nothing But Trouble(1991) ,1,1991,5.2,22371,Dan Aykroyd
38914,A Nice Girl Like You(2020) ,1,2020,5.2,1733,Chris Riedell
39023,Rough Night(2017) ,1,2017,5.2,46159,Lucia Aniello
39132,My Christmas Prince(2017) ,1,2017,5.2,778,Sam Irvin
39241,The Sweetest Thing(2002) ,1,2002,5.2,54528,Roger Kumble
39350,Madea's Family Reunion(2006) ,1,2006,5.2,10502,Tyler Perry
39459,Never Too Late(2020) ,1,2020,5.2,199,Mark Lamprell
39568,Father of the Year(2018) ,1,2018,5.2,9741,Tyler Spindel
39677,A Cinderella Story: Christmas Wish(2019) ,1,2019,5.2,3865,Michelle Johnston
39786,Camp Rock(2008) ,1,2008,5.2,29923,Matthew Diamond
39895,Deathstalker II(1987) ,1,1987,5.2,2283,Jim Wynorski
40004,Spy Kids 2: Island of Lost Dreams(2002) ,1,2002,5.2,59806,Robert Rodriguez
40113,Knight Squad            ,1,,5.2,395,Sean William Cunningham
40222,Sleepaway Camp III: Teenage Wasteland(1989) ,1,1989,5.2,7363,Michael A. Simpson
40331,Rapture-Palooza(2013) ,1,2013,5.2,11143,Paul Middleditch
40440,Butt Boy(2019) ,1,2019,5.2,833,Tyler Cornack
